,name,clouds,country,dt,humidity,lat,lon,temp_max,speed
85,Isangel,90,VU,1600903251,78,-19.55,169.27,78.8,2.24
86,Tonantins,68,BR,1600903252,72,-2.87,-67.8,80.51,1.1
87,Bredasdorp,0,ZA,1600903253,93,-34.53,20.04,44.6,4.7
88,Saint-Philippe,0,RE,1600903255,55,-21.36,55.77,64.4,8.05
89,Banda Aceh,100,ID,1600903256,75,5.56,95.32,78.87,7.9
90,Avarua,100,CK,1600903257,88,-21.21,-159.78,78.8,10.29
91,Talara,50,PE,1600903258,85,-4.58,-81.27,63.63,11.27
92,Qaanaaq,100,GL,1600903260,84,77.48,-69.36,16.77,12.86
93,Bethel,1,US,1600903198,60,41.37,-73.41,70.0,3.36
94,New Amsterdam,38,GY,1600903262,84,6.25,-57.52,78.87,5.88
95,Chokurdakh,100,RU,1600903263,87,70.63,147.92,39.16,5.88
96,Tasiilaq,73,GL,1600903002,63,65.61,-37.64,28.4,5.82
97,Ullapool,8,GB,1600903266,92,57.9,-5.16,37.0,1.01
98,Dikson,33,RU,1600903267,89,73.51,80.55,39.42,17.94
99,Bajil,93,YE,1600903268,51,15.06,43.29,90.36,1.52
100,College,90,US,1600903270,58,64.86,-147.8,53.6,8.05
101,Zhireken,100,RU,1600903271,90,52.82,117.31,43.41,5.79
102,Mulegé,0,MX,1600903270,28,26.88,-111.98,95.81,10.71
103,Port Alfred,0,ZA,1600903149,78,-33.59,26.89,60.6,1.48
104,Mīnāb,1,IR,1600903275,54,27.15,57.08,78.8,4.7
105,Tuktoyaktuk,90,CA,1600903277,80,69.45,-133.04,39.2,14.99
106,Soyo,85,AO,1600903278,85,-6.13,12.37,74.43,7.7
107,Guerrero Negro,0,MX,1600903017,39,27.98,-114.06,85.93,16.13
108,Kathmandu,90,NP,1600903280,100,27.72,85.32,66.2,3.36
109,Ilulissat,0,GL,1600903282,53,69.22,-51.1,23.0,1.12
110,Itea,69,GR,1600903283,64,38.43,22.42,73.99,1.01
111,Cape Town,75,ZA,1600903284,93,-33.93,18.42,57.99,6.93
112,Mahébourg,40,MU,1600903285,82,-20.41,57.7,66.2,8.95
113,Moscow,100,RU,1600903189,87,55.75,37.62,59.0,4.27
114,Hilo,90,US,1600903178,83,19.73,-155.09,78.8,5.82
115,Watsa,59,CD,1600903289,99,3.04,29.54,63.88,0.51
116,Saskylakh,0,RU,1600903290,76,71.92,114.08,43.52,12.46
117,Villa del Rosario,40,CO,1600903291,45,7.83,-72.47,87.8,20.8
118,Oddur,4,SO,1600903293,80,4.12,43.89,72.18,15.32
119,Sakaiminato,75,JP,1600903294,94,35.55,133.23,71.6,2.24
120,Yulara,0,AU,1600903295,33,-25.24,130.99,57.2,10.29
121,Vostok,0,RU,1600903297,86,46.49,135.88,50.0,2.24
122,Hokitika,53,NZ,1600903300,81,-42.72,170.97,56.84,7.31
123,Ribeira Grande,50,PT,1600903301,71,38.52,-28.7,65.77,22.91
124,Bridlington,100,GB,1600903302,93,54.08,-0.19,50.0,9.17
125,Arman',59,RU,1600903304,57,59.7,150.17,46.8,10.6
126,Kruisfontein,0,ZA,1600903306,80,-34.0,24.73,52.68,4.38
127,Datong,0,CN,1600903307,85,40.09,113.29,51.31,1.21
128,Popondetta,98,PG,1600903310,59,-8.75,148.25,87.3,0.78
129,Ekenäs,3,FI,1600903311,93,59.97,23.43,57.99,9.66
130,Bilibino,99,RU,1600903035,85,68.05,166.44,38.44,4.18
131,Sitka,90,US,1600903313,76,57.05,-135.33,55.4,6.93
132,Pareora,68,NZ,1600903315,57,-44.49,171.21,59.41,5.14
133,Port Elizabeth,20,ZA,1600903035,87,-33.92,25.57,53.6,3.36
134,Kaka,0,TM,1600903317,38,37.35,59.61,54.34,4.38
135,Donskoye,4,RU,1600903318,82,45.46,41.97,57.2,8.95
136,Yantal',7,RU,1600903320,86,56.85,105.25,37.29,3.67
137,Narsaq,100,GL,1600903321,38,60.92,-46.05,39.2,3.36
138,Kutum,19,SD,1600903323,54,14.2,24.67,77.34,3.29
139,Port Moresby,90,PG,1600903324,83,-9.44,147.18,78.8,5.82
140,Chui,100,UY,1600903060,93,-33.7,-53.46,54.43,4.9
141,Thompson,40,CA,1600903326,53,55.74,-97.86,51.8,2.91
142,Lakes Entrance,0,AU,1600903328,61,-37.88,147.98,55.99,1.01
143,Rocha,100,UY,1600903227,90,-34.48,-54.33,50.74,5.44
144,Port Hardy,90,CA,1600903330,93,50.7,-127.42,55.4,12.75
145,Krasnosel'kup,86,RU,1600903331,84,65.7,82.47,39.07,12.46
146,Jijiga,87,ET,1600903334,91,9.35,42.8,61.07,7.67
147,Leningradskiy,100,RU,1600903335,96,69.38,178.42,33.82,6.58
148,Rodolfo Sánchez Taboada,0,MX,1600903073,25,31.72,-116.57,84.99,5.99
149,Chifeng,100,CN,1600903337,73,42.27,118.96,57.87,3.78
150,Abaeté,100,BR,1600903339,73,-19.16,-45.45,71.01,3.67
151,Saint-Nazaire,26,FR,1600903340,87,47.28,-2.2,57.99,5.82
152,Kasangulu,40,CD,1600903341,61,-4.59,15.17,82.4,9.17
153,Atuona,27,PF,1600903342,71,-9.8,-139.03,78.08,18.99
154,Dawei,100,MM,1600903344,93,14.08,98.2,76.24,5.06
155,Alice Springs,0,AU,1600903345,25,-23.7,133.88,75.0,9.17
156,Gijang,75,KR,1600903346,64,35.24,129.21,69.8,10.29
157,Porto Tolle,1,IT,1600903347,86,44.95,12.32,64.0,8.25
158,Sebeta,75,ET,1600903349,82,8.92,38.62,59.0,4.7
159,Reus,49,ES,1600903350,82,41.16,1.11,73.0,3.36
160,Portknockie,95,GB,1600903351,93,57.7,-2.86,41.0,2.24
161,Freeport,1,US,1600903201,44,40.66,-73.58,75.99,6.93
162,Gushikawa,20,JP,1600903353,88,26.35,127.87,80.6,5.82
163,Nālūt,0,LY,1600903355,25,30.33,10.85,80.29,7.54
164,Bambous Virieux,40,MU,1600903356,82,-20.34,57.76,66.2,9.37
165,Madaba Governorate,0,JO,1600903357,82,31.58,35.67,66.99,1.39
166,Oranjestad,20,AW,1600903105,70,12.52,-70.03,87.8,23.04
167,Lebu,0,CL,1600903356,80,-37.62,-73.65,50.2,15.88
168,Ukiah,1,US,1600903361,28,39.15,-123.21,84.2,6.93
169,Aquiraz,75,BR,1600903362,78,-3.9,-38.39,80.6,11.41
170,Vardø,75,NO,1600903363,81,70.37,31.11,48.2,11.41
171,Srednekolymsk,98,RU,1600903364,76,67.45,153.68,44.01,11.54
