,name,clouds,country,dt,humidity,lat,lon,temp_max,speed
371,Camacha,20,PT,1600903658,88,33.08,-16.33,73.4,9.17
372,Puerto Escondido,40,MX,1600903659,66,15.85,-97.07,87.8,6.93
373,Shediac,75,CA,1600903660,82,46.22,-64.54,55.4,8.05
374,Sioux Lookout,75,CA,1600903401,67,50.1,-91.92,57.2,2.24
375,Flinders,0,AU,1600903663,52,-34.58,150.86,62.01,15.99
376,Ndélé,79,CF,1600903664,95,8.41,20.65,70.93,1.92
377,Talcahuano,28,CL,1600903666,76,-36.72,-73.12,57.2,9.17
378,Constitución,100,CL,1600903667,74,-35.33,-72.42,54.97,10.51
379,Ruhengeri,40,RW,1600903655,77,-1.5,29.64,62.6,13.87
380,Acaraú,1,BR,1600903623,76,-2.89,-40.12,78.21,18.01
381,Nichinan,75,JP,1600903671,88,31.6,131.37,71.6,4.7
382,Napa,10,US,1600903672,67,38.48,-122.33,84.0,1.01
383,Aksu,0,CN,1600903674,33,41.12,80.26,61.23,4.14
384,Shenzhen,95,CN,1600903675,88,22.55,114.07,80.01,1.01
385,Padang,100,ID,1600903676,86,-0.95,100.35,75.52,3.94
386,Duvan,47,RU,1600903679,89,55.7,57.9,38.82,10.49
387,Te Anau,100,NZ,1600903680,87,-45.42,167.72,47.26,4.92
388,Andover,34,GB,1600903682,93,51.21,-1.48,46.4,2.24
389,Ongandjera,93,NA,1600903684,22,-17.88,15.07,75.78,9.98
390,Sefophe,0,BW,1600903685,59,-22.18,27.97,62.4,6.15
391,Anadyr,20,RU,1600903687,70,64.75,177.48,42.8,17.9
392,Onega,67,RU,1600903688,93,63.91,38.14,46.35,8.25
393,Sebring,90,US,1600903690,61,27.5,-81.44,82.4,8.05
394,Bonito,26,BR,1600903692,60,-21.12,-56.48,76.57,3.71
395,Ndjolé,100,GA,1600903693,94,-0.18,10.76,72.77,3.13
396,Hofn,30,IS,1600903695,71,64.25,-15.21,39.06,16.82
397,Lima,40,PE,1600903696,77,-12.04,-77.03,62.6,14.99
398,Adré,85,TD,1600903698,78,13.47,22.2,73.81,0.87
399,Mehamn,20,NO,1600903699,76,71.04,27.85,48.2,26.4
400,Portland,90,US,1600903622,88,45.52,-122.68,64.4,5.82
401,Ocós,75,GT,1600903702,79,14.51,-92.19,86.0,3.36
402,Warren,1,US,1600903615,56,39.43,-84.17,73.0,3.36
403,Portlethen,100,GB,1600903704,87,57.05,-2.13,44.6,8.05
404,Chokwé,0,MZ,1600903706,76,-24.53,32.98,64.27,6.78
405,Allanridge,0,ZA,1600903707,34,-27.75,26.64,58.53,5.39
406,Varhaug,100,NO,1600903708,99,58.61,5.65,50.0,1.01
407,Allāpalli,100,IN,1600903709,94,19.42,80.07,74.5,5.21
408,Bengkulu,100,ID,1600903711,86,-3.8,102.27,77.59,7.05
409,Dalby,51,AU,1600903712,29,-27.18,151.27,66.2,13.87
410,Aklavik,90,CA,1600903713,86,68.22,-135.01,39.2,13.87
411,Tarasovskiy,0,RU,1600903715,37,48.73,40.36,56.53,3.78
412,Lubawa,90,PL,1600903716,65,53.5,19.75,61.59,6.89
413,Amga,0,RU,1600903718,67,60.9,131.96,42.51,1.81
414,Amapá,30,BR,1600903719,57,1.0,-52.0,81.37,5.48
415,Mitsamiouli,0,KM,1600903720,79,-11.38,43.28,77.0,2.53
416,Thunder Bay,90,CA,1600903687,72,48.4,-89.32,62.6,6.93
417,Stromness,68,GB,1600903723,80,58.97,-3.3,41.0,7.67
418,Batticaloa,96,LK,1600903724,80,7.71,81.69,79.57,4.61
419,Alice Town,100,BS,1600903725,72,25.72,-79.3,81.45,15.3
420,Sotuta,97,MX,1600903726,71,20.6,-89.02,82.56,5.41
421,Coahuayana Viejo,75,MX,1600903728,78,18.73,-103.68,80.6,13.87
422,Ciudad Bolivar,97,VE,1600903729,64,8.12,-63.55,86.07,3.11
423,Redlands,75,US,1600903731,16,34.06,-117.18,95.0,4.7
424,Saint George,1,US,1600903732,13,37.1,-113.58,95.0,11.41
425,Vallenar,100,CL,1600903733,51,-28.57,-70.76,65.61,4.21
426,Caravelas,50,BR,1600903735,76,-17.71,-39.25,73.92,7.43
427,Bayonet Point,90,US,1600903736,63,28.33,-82.68,84.0,9.8
428,Pangnirtung,90,CA,1600903737,41,66.15,-65.71,39.2,14.99
429,Benguela,12,AO,1600903739,78,-12.58,13.41,71.53,5.5
430,Bontang,100,ID,1600903740,91,0.13,117.5,74.59,3.56
431,Cururupu,8,BR,1600903741,86,-1.83,-44.87,75.2,3.87
432,Harrison,90,US,1600903743,88,30.41,-89.04,77.0,13.87
433,Chamba,0,IN,1600903745,53,32.57,76.13,66.72,5.97
434,Batagay,75,RU,1600903746,69,67.63,134.63,42.19,1.43
435,Zapolyarnyy,88,RU,1600903747,81,69.42,30.81,48.2,32.21
436,Fortuna Foothills,1,US,1600903749,10,32.66,-114.41,102.99,8.05
437,Zyryanka,71,RU,1600903751,76,65.75,150.85,43.52,6.58
438,Kyra,0,RU,1600903752,85,49.58,111.98,34.95,2.51
439,Vrangel',6,RU,1600903753,70,42.73,133.08,57.79,5.97
440,Lüderitz,0,NA,1600903755,66,-26.65,15.16,58.98,3.4
441,Necochea,0,AR,1600903756,91,-38.55,-58.74,48.0,3.0
442,Gimli,91,CA,1600903757,99,50.63,-96.99,55.99,5.01
443,Chipinge,25,ZW,1600903759,91,-20.19,32.62,55.04,4.43
444,Marquette,36,US,1600903760,62,46.53,-87.63,66.99,5.99
445,Rassvet,0,RU,1600903762,49,46.83,40.75,58.33,7.94
446,Tura,100,IN,1600903763,98,25.52,90.22,73.27,4.72
447,Gogrial,97,SS,1600903764,91,8.53,28.1,73.47,2.91
448,Mahon,0,ES,1600903767,88,39.89,4.27,73.4,9.17
449,Lovozero,71,RU,1600903768,86,68.0,35.01,42.76,9.26
450,Aripuanã,85,BR,1600903769,45,-9.17,-60.63,86.43,1.36
451,Hualmay,33,PE,1600903771,78,-11.1,-77.61,63.01,6.71
452,Mbandaka,97,CD,1600903772,93,0.05,18.26,71.74,3.29
453,Kaduy,0,RU,1600903773,96,59.2,37.15,51.31,4.25
454,Dingle,89,PH,1600903775,85,11.0,122.67,78.55,1.9
455,Teguise,20,ES,1600903777,65,29.06,-13.56,78.8,16.11
456,Nanortalik,100,GL,1600903778,72,60.14,-45.24,39.78,11.41
457,Korla,8,CN,1600903780,31,41.76,86.15,61.77,3.56
458,Gizo Government Station,46,SB,1600903508,71,-8.1,156.84,83.57,5.01
459,Erenhot,41,CN,1600903782,45,43.65,111.98,56.77,6.51
460,Waipawa,3,NZ,1600903784,77,-41.41,175.52,60.8,25.28
461,Ngunguru,81,NZ,1600903785,79,-35.62,174.5,64.99,10.0
462,Griffith,1,US,1600903786,53,41.53,-87.42,73.99,5.82
463,Uturoa,1,PF,1600903787,74,-16.73,-151.43,80.01,16.44
464,Ha Tinh,100,VN,1600903789,92,18.33,105.9,77.74,2.21
